,Date,Negative,Neutral,Positive
2023-07-02,2023-07-02,0.07170550767293933,0.6125467861132635,0.31574769155378196
2023-07-03,2023-07-03,0.08233717246595443,0.6291175855826218,0.2885452343472556
2023-07-04,2023-07-04,0.09971399646400148,0.6109677649318026,0.28931823074549
2023-07-05,2023-07-05,0.09971399646400148,0.6109677649318026,0.28931823074549
2023-07-06,2023-07-06,0.09971399646400148,0.6109677649318026,0.28931823074549
2023-07-07,2023-07-07,0.18639831096571957,0.6432905581851418,0.1703111183372899
2023-07-08,2023-07-08,0.14646255722712542,0.675119124262804,0.17841831854950152
2023-07-09,2023-07-09,0.12189208061511934,0.7292232794687152,0.14888462759942434
2023-07-10,2023-07-10,0.13025078044103622,0.7187214448032054,0.15102775621044473
2023-07-11,2023-07-11,0.13404621981259543,0.7214708028471853,0.14448296931332508
2023-07-12,2023-07-12,0.13404621981259543,0.7214708028471853,0.14448296931332508
2023-07-13,2023-07-13,0.13404621981259543,0.7214708028471853,0.14448296931332508
2023-07-14,2023-07-14,0.15125402309155708,0.6453268579163012,0.20341911747430758
2023-07-15,2023-07-15,0.32960721535274906,0.5472377134012241,0.1231550579689735
2023-07-16,2023-07-16,0.13697782320585764,0.6625534623329129,0.2004686981963459
2023-07-17,2023-07-17,0.08212909268167744,0.6259367496273677,0.29193415291205116
2023-07-18,2023-07-18,0.1260525782391633,0.6367766130483832,0.23717080461223738
2023-07-19,2023-07-19,0.14242043062889326,0.624963895099548,0.2326156772440299
2023-07-20,2023-07-20,0.11061312410268272,0.6629433938137749,0.22644347970045223
2023-07-21,2023-07-21,0.11061312410268272,0.6629433938137749,0.22644347970045223
2023-07-22,2023-07-22,0.11061312410268272,0.6629433938137749,0.22644347970045223
2023-07-23,2023-07-23,0.1303257092949934,0.6074099156151836,0.2622643908446965
2023-07-24,2023-07-24,0.11239096752854547,0.7498496051307197,0.13775942499355015
2023-07-25,2023-07-25,0.11928842819332583,0.7262290115993386,0.15448255488067808
2023-07-26,2023-07-26,0.13374817021968247,0.6645116793078105,0.20174014948259125
2023-07-27,2023-07-27,0.10358226196299902,0.7778765428678266,0.11854119549638453
2023-07-28,2023-07-28,0.16286140393903364,0.7055986872200956,0.13153989977029384
2023-07-29,2023-07-29,0.3475559395706482,0.4496206389488401,0.20282339701126956
2023-07-30,2023-07-30,0.22613858312475849,0.5820445363911299,0.19181686297703818
2023-07-31,2023-07-31,0.2417450537362707,0.617101379236291,0.14115357149487612
2023-08-01,2023-08-01,0.17238494181947314,0.6334826640086249,0.1941323944847681
2023-08-02,2023-08-02,0.17238494181947314,0.6334826640086249,0.1941323944847681
2023-08-03,2023-08-03,0.2249413941953597,0.5830124417053801,0.19204615388464713
2023-08-04,2023-08-04,0.13920855954676234,0.5970790412937922,0.2637124039540668
2023-08-05,2023-08-05,0.13920855954676234,0.5970790412937922,0.2637124039540668
2023-08-06,2023-08-06,0.19482104335599237,0.5618365667760372,0.24334237316237167
2023-08-07,2023-08-07,0.16848230888302035,0.6112039061626057,0.22031377073280606
2023-08-08,2023-08-08,0.13007322202324453,0.6394172511029527,0.2305095181766435
2023-08-09,2023-08-09,0.15431686093080596,0.6802543509337637,0.16542878266978966
2023-08-10,2023-08-10,0.2073579638707707,0.6150264081105099,0.17761563105703132
2023-08-11,2023-08-11,0.16279611661924384,0.6118106436661699,0.22539322870487175
2023-08-12,2023-08-12,0.25384282406432446,0.5424729677055169,0.20368419523799305
2023-08-13,2023-08-13,0.18428983355572975,0.6286138087511063,0.18709634956238522
2023-08-14,2023-08-14,0.15577347557396126,0.6172989440085583,0.22692757481059359
2023-08-15,2023-08-15,0.15577347557396126,0.6172989440085583,0.22692757481059359
2023-08-16,2023-08-16,0.13809344474693955,0.637779086943617,0.2241274597601289
2023-08-17,2023-08-17,0.17187444721592676,0.6469384582052308,0.1811870879647622
2023-08-18,2023-08-18,0.12210181446825696,0.6446187072139871,0.23327946977538833
2023-08-19,2023-08-19,0.12210181446825696,0.6446187072139871,0.23327946977538833
2023-08-20,2023-08-20,0.22549753661786032,0.5530415466901931,0.22146093499296426
2023-08-21,2023-08-21,0.14776489579842583,0.6381113051801272,0.21412380433226325
2023-08-22,2023-08-22,0.16222685017826238,0.6194719052321073,0.21830123495626244
2023-08-23,2023-08-23,0.13415200535970104,0.6002348141501779,0.2656131743710858
2023-08-24,2023-08-24,0.17049521465615236,0.5984829170087915,0.23102185694598265
2023-08-25,2023-08-25,0.17049521465615236,0.5984829170087915,0.23102185694598265
2023-08-26,2023-08-26,0.19103097945951636,0.5806359785115894,0.22833304258186696
2023-08-27,2023-08-27,0.19103097945951636,0.5806359785115894,0.22833304258186696
2023-08-28,2023-08-28,0.14177364122807837,0.6529765924755132,0.20524975295477316
2023-08-29,2023-08-29,0.14177364122807837,0.6529765924755132,0.20524975295477316
2023-08-30,2023-08-30,0.12829271128074202,0.5867848785970597,0.2849223887537943
2023-08-31,2023-08-31,0.15230497220149156,0.614158733130506,0.23353629501724843
2023-09-01,2023-09-01,0.15230497220149156,0.614158733130506,0.23353629501724843
2023-09-02,2023-09-02,0.22663328347456016,0.48734845298652846,0.28601826091956656
2023-09-03,2023-09-03,0.2813340481370687,0.5254976174483696,0.19316833050300675
2023-09-04,2023-09-04,0.1466827297240824,0.6153550309293411,0.2379622233264586
2023-09-05,2023-09-05,0.18373617884308957,0.5799347911316615,0.23632902750530493
2023-09-06,2023-09-06,0.08965689038752382,0.6373123580871044,0.27303075087520307
2023-09-07,2023-09-07,0.0871274960595874,0.5903184025641938,0.3225541008426909
2023-09-08,2023-09-08,0.10654905692648345,0.6327738801638285,0.26067706486417186
2023-09-09,2023-09-09,0.19482589987813279,0.5445858625074228,0.26058823345719195
2023-09-10,2023-09-10,0.23476268357948443,0.6089302875467988,0.1563070102243638
2023-09-11,2023-09-11,0.1547959046601535,0.6018220047579608,0.24338208787822135
2023-09-12,2023-09-12,0.1269137263393981,0.58991627895611,0.28316999501599877
2023-09-13,2023-09-13,0.1294832627570238,0.5962707058867753,0.2742460362110655
2023-09-14,2023-09-14,0.15398760886543078,0.6113230765135174,0.2346892946382917
2023-09-15,2023-09-15,0.13589945318973293,0.6796365969475041,0.1844639435524207
2023-09-16,2023-09-16,0.27484643341934617,0.4693452159494714,0.2558083571234925
2023-09-17,2023-09-17,0.14202002531894276,0.5832797447900947,0.27470024608121046
2023-09-18,2023-09-18,0.2011802373754401,0.6045076411658077,0.19431211950347543
2023-09-19,2023-09-19,0.1491904905036113,0.6036403603245353,0.24716915607961368
2023-09-20,2023-09-20,0.19463037273383815,0.6223237388440795,0.18304588582902329
2023-09-21,2023-09-21,0.15154948532017606,0.6484737172999275,0.19997679089163195
2023-09-22,2023-09-22,0.15154948532017606,0.6484737172999275,0.19997679089163195
2023-09-23,2023-09-23,0.18651303911046338,0.6119432528720838,0.20154370098574972
2023-09-24,2023-09-24,0.18651303911046338,0.6119432528720838,0.20154370098574972
2023-09-25,2023-09-25,0.13476849362156407,0.652902357970123,0.21232914773425382
2023-09-26,2023-09-26,0.16905815335272548,0.6545817368492788,0.17636009812241
2023-09-27,2023-09-27,0.14279823105670914,0.6456736711704213,0.211528098618146
2023-09-28,2023-09-28,0.14528503631149287,0.6276356053121132,0.22707935259075318
2023-09-29,2023-09-29,0.15515350792687252,0.6724927847475543,0.1723536991488214
2023-09-30,2023-09-30,0.2413468598388135,0.6342377662658691,0.12441545166075225
2023-10-01,2023-10-01,0.2413468598388135,0.6342377662658691,0.12441545166075225
2023-10-02,2023-10-02,0.1685820153684795,0.5860322872694168,0.24538568578039602
2023-10-03,2023-10-03,0.1685820153684795,0.5860322872694168,0.24538568578039602
2023-10-04,2023-10-04,0.1685820153684795,0.5860322872694168,0.24538568578039602
2023-10-05,2023-10-05,0.113008922833192,0.6575988168273159,0.22939226148777045
2023-10-06,2023-10-06,0.1497021991604318,0.6572610185614653,0.193036756733255
2023-10-07,2023-10-07,0.1497021991604318,0.6572610185614653,0.193036756733255
2023-10-08,2023-10-08,0.2804768971537294,0.6121033281087875,0.10741975448806493
2023-10-09,2023-10-09,0.1752318307907709,0.6757631838087022,0.14900498022508665
2023-10-10,2023-10-10,0.16626845667404783,0.6993056902928012,0.13442585488249142
2023-10-11,2023-10-11,0.13366553370289544,0.6506940418019377,0.21564040981746949
2023-10-12,2023-10-12,0.13050342084972136,0.6116620150820936,0.25783455283459966
2023-10-13,2023-10-13,0.13050342084972136,0.6116620150820936,0.25783455283459966
2023-10-14,2023-10-14,0.2501386112635373,0.5730208439053968,0.17684053931589003
2023-10-15,2023-10-15,0.0915049180464568,0.7204691729006859,0.1880258787065171
2023-10-16,2023-10-16,0.0915049180464568,0.7204691729006859,0.1880258787065171
2023-10-17,2023-10-17,0.2714395600809371,0.6098350187640819,0.11872542433822283
2023-10-18,2023-10-18,0.2714395600809371,0.6098350187640819,0.11872542433822283
2023-10-19,2023-10-19,0.5615482330322266,0.4158230486015479,0.022628728998824885
2023-10-20,2023-10-20,0.18567989469086746,0.6064086978137493,0.2079114067852497
2023-10-21,2023-10-21,0.18567989469086746,0.6064086978137493,0.2079114067852497
2023-10-22,2023-10-22,0.19123358836966664,0.6333059326021208,0.17546047256716213
2023-10-23,2023-10-23,0.3971455171704292,0.565433070063591,0.0374214183539152
2023-10-24,2023-10-24,0.34670898892412266,0.427345622330904,0.22594537697732445
2023-10-25,2023-10-25,0.1594396733774126,0.6794724164361303,0.16108791874933306
2023-10-26,2023-10-26,0.23635903984770837,0.5971713468407918,0.16646960981367886
2023-10-27,2023-10-27,0.23635903984770837,0.5971713468407918,0.16646960981367886
2023-10-28,2023-10-28,0.1606185497434506,0.6254547173807095,0.2139267101721448
2023-10-29,2023-10-29,0.1606185497434506,0.6254547173807095,0.2139267101721448
2023-10-30,2023-10-30,0.1606185497434506,0.6254547173807095,0.2139267101721448
2023-10-31,2023-10-31,0.25164667480741626,0.5575655595771969,0.19078775879926976
2023-11-01,2023-11-01,0.25164667480741626,0.5575655595771969,0.19078775879926976
2023-11-02,2023-11-02,0.25164667480741626,0.5575655595771969,0.19078775879926976
2023-11-03,2023-11-03,0.20071106292055663,0.6353364340658929,0.16395247914526306
2023-11-04,2023-11-04,0.20071106292055663,0.6353364340658929,0.16395247914526306
2023-11-05,2023-11-05,0.20071106292055663,0.6353364340658929,0.16395247914526306
2023-11-06,2023-11-06,0.16359616105781036,0.6683038573298189,0.1680999808815411
2023-11-07,2023-11-07,0.16182256011642887,0.6670498428447695,0.1711275783796491
2023-11-08,2023-11-08,0.16320628842434165,0.6469435133463279,0.18985020123496224
2023-11-09,2023-11-09,0.23658120605184438,0.55913290142251,0.20428586644332175
2023-11-10,2023-11-10,0.251705847783125,0.5521155732373396,0.1961785671134878
2023-11-11,2023-11-11,0.251705847783125,0.5521155732373396,0.1961785671134878
2023-11-12,2023-11-12,0.10959941744804377,0.7093874524037044,0.18101311586797234
2023-11-13,2023-11-13,0.10959941744804377,0.7093874524037044,0.18101311586797234
2023-11-14,2023-11-14,0.19750651367433852,0.621063522954026,0.18142995258550276
2023-11-15,2023-11-15,0.11697850381881975,0.6891902166565782,0.19383128198157795
2023-11-16,2023-11-16,0.18286677725248138,0.6224109590607317,0.1947222445317468
2023-11-17,2023-11-17,0.2515697407676877,0.6064418070988419,0.1419884474671562
2023-11-18,2023-11-18,0.3251733048819005,0.5694830043671223,0.105343666473905
2023-11-19,2023-11-19,0.06211816836148497,0.6764658806845546,0.2614159110933542
2023-11-20,2023-11-20,0.06211816836148497,0.6764658806845546,0.2614159110933542
2023-11-21,2023-11-21,0.13130013896032972,0.661366449860044,0.2073333960038442
2023-11-22,2023-11-22,0.23169154154884655,0.6330843691460111,0.135224088222127
2023-11-23,2023-11-23,0.23169154154884655,0.6330843691460111,0.135224088222127
2023-11-24,2023-11-24,0.0056449100375175,0.1565427482128143,0.8378123044967651
2023-11-25,2023-11-25,0.1449059028184423,0.579994801336374,0.2750992809589474
2023-11-26,2023-11-26,0.1158270941395312,0.5914129364490509,0.2927599538490176
2023-11-27,2023-11-27,0.3077963007381186,0.49819372594356537,0.1940099569037556
2023-11-28,2023-11-28,0.13435536571756593,0.7118747684164582,0.15376986424377725
2023-11-29,2023-11-29,0.19651527544771752,0.5958874225752084,0.20759730524772285
2023-11-30,2023-11-30,0.2208654166660176,0.6595887988805771,0.1195457832156015
2023-12-01,2023-12-01,0.11457668049704457,0.7292006637841936,0.15622263936887654
2023-12-02,2023-12-02,0.2618324799152712,0.5609799223641555,0.1771875693618009
2023-12-03,2023-12-03,0.13892015846530817,0.7013905055143617,0.159689332104542
2023-12-04,2023-12-04,0.13892015846530817,0.7013905055143617,0.159689332104542
2023-12-05,2023-12-05,0.10320185688742169,0.6748452200434911,0.22195291846321938
2023-12-06,2023-12-06,0.10454151031937303,0.6313944169105246,0.2640640664415863
2023-12-07,2023-12-07,0.14663375568105486,0.6756703571606708,0.17769587047708527
2023-12-08,2023-12-08,0.14663375568105486,0.6756703571606708,0.17769587047708527
2023-12-09,2023-12-09,0.16135385034833732,0.6704933109911199,0.16815282862157893
2023-12-10,2023-12-10,0.12158837033590918,0.60097109598832,0.2774405198094124
2023-12-11,2023-12-11,0.12852678912458937,0.6652202303388289,0.20625298206827467
2023-12-12,2023-12-12,0.11191135106445656,0.6950760929593964,0.19301255246151294
2023-12-13,2023-12-13,0.20819346255978893,0.6054264186497997,0.18638010980999642
2023-12-14,2023-12-14,0.20819346255978893,0.6054264186497997,0.18638010980999642
2023-12-15,2023-12-15,0.11710296375857629,0.6755178093123411,0.20737922031448444
2023-12-16,2023-12-16,0.10024365453350847,0.5543493190232445,0.34540700059219753
2023-12-17,2023-12-17,0.10024365453350847,0.5543493190232445,0.34540700059219753
2023-12-18,2023-12-18,0.15295768477953967,0.6576195082203908,0.1894227943891151
2023-12-19,2023-12-19,0.19177937189086366,0.61328218586661,0.19493843848141582
2023-12-20,2023-12-20,0.1195784670016685,0.6914442685697604,0.1889772501885207
2023-12-21,2023-12-21,0.11047603356649595,0.6484231828489733,0.2411007724352521
2023-12-22,2023-12-22,0.12456392499114398,0.6825027758041855,0.1929332847182786
2023-12-23,2023-12-23,0.27041295161037593,0.5874121527858945,0.14217490074766231
2023-12-24,2023-12-24,0.19546892176637604,0.5415827848257557,0.26294828147717536
2023-12-25,2023-12-25,0.2493755829227329,0.654233590596252,0.09639082435966913
2023-12-26,2023-12-26,0.22890446979820012,0.5907686608645352,0.18032686088105382
2023-12-27,2023-12-27,0.11630373126328254,0.6674051986608122,0.2162910518569073
2023-12-28,2023-12-28,0.11630373126328254,0.6674051986608122,0.2162910518569073
2023-12-29,2023-12-29,0.10784528875857652,0.5973492894416391,0.2948054256020271
2023-12-30,2023-12-30,0.10784528875857652,0.5973492894416391,0.2948054256020271
2023-12-31,2023-12-31,0.09292422311107919,0.6202694416591307,0.2868063452585441
